TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
FI;01.622.154/0001-88;BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA HOUSTON;2021-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;7325224.00;;;SDL;DI1 X IAP
FI;01.630.152/0001-30;SANTANDER FUNDO DE INVESTIMENTO BREMEN MULTIMERCADO;2021-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;985024.90;;;SDL;DI1 X IAP
FI;02.885.730/0001-42;KONA FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;8327375.04;;;SDP;DI1 X PRE
FI;02.885.730/0001-42;KONA FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-06-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;12880942.93;;;SDP;DI1 X PRE
FI;03.191.766/0001-99;FUNDO DE INVESTIMENTO CAIXA SÊNIOR IV MULTIMERCADO;2021-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;802989.68;;2021-09-28;SDP;DI1 X PRE
FI;03.191.766/0001-99;FUNDO DE INVESTIMENTO CAIXA SÊNIOR IV MULTIMERCADO;2021-06-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;709629.61;;2021-09-28;SDP;DI1 X PRE
FI;03.597.122/0001-03;RESULT FUNDO DE INVESTIMENTO MULTIMERCADO INVESTIMENTO NO EXTERIOR CREDITO PRIVADO;2021-06-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;64100.83;;;SDP;DI1 X PRE
FI;03.597.388/0001-48;BRADESCO FUNDO DE INVESTIMENTO MULTIMERCADO CRAFT;2021-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;905183.77;;2021-09-28;SDL;DI1 X IAP
FI;03.737.188/0001-43;FUNDO DE INVESTIMENTO CAIXA MULTIMERCADO RV 30 LONGO PRAZO;2021-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;741892.64;;2021-09-28;SDP;DI1 X PRE
FI;03.737.188/0001-43;FUNDO DE INVESTIMENTO CAIXA MULTIMERCADO RV 30 LONGO PRAZO;2021-06-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;394924.31;;2021-09-28;SDP;DI1 X PRE
FI;04.085.474/0001-34;CREDIT SUISSE PRÓPRIO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;38540514.17;;2021-09-28;SDL;DI1 X IAP
FI;04.085.474/0001-34;CREDIT SUISSE PRÓPRIO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;8200505.01;;2021-09-28;SBP;TBF X PRE
FI;04.085.474/0001-34;CREDIT SUISSE PRÓPRIO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;43123292.05;;2021-09-28;SDP;DI1 X PRE
FI;04.085.474/0001-34;CREDIT SUISSE PRÓPRIO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1195695.80;;2021-09-28;SDC;DI1 X DOL
FI;04.085.474/0001-34;CREDIT SUISSE PRÓPRIO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;2887858.38;;2021-09-28;SBD;SB1 X DI1
FI;04.085.474/0001-34;CREDIT SUISSE PRÓPRIO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-06-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;11925490.15;;2021-09-28;SCP;DOL X PRE
FI;04.085.474/0001-34;CREDIT SUISSE PRÓPRIO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-06-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;21490724.61;;2021-09-28;SPB;PRE X SB1
FI;04.085.474/0001-34;CREDIT SUISSE PRÓPRIO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-06-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;90330335.54;;2021-09-28;SDP;DI1 X PRE
FI;04.085.474/0001-34;CREDIT SUISSE PRÓPRIO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-06-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;32743411.16;;2021-09-28;SDL;DI1 X IAP
